,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкусы,"Продажи, шт ","Продажи, руб ","Продажи, тонн ","Себест., руб "
198,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кукур.со вкус.краба 140г,СЫРBALL кук. Краб 140г,140,Краб,2526,374662.6099999993,0.353639999999999,161543.5690000001
199,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кукуруз.вкус.кетчупа 140г,СЫРBALL кук. Кетчуп 140г,140,Кетчуп,1868,278767.6499999997,0.26152000000000103,105611.86899999986
200,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",СырBall,СЫРBALL Шарики кукуруз.со вк.сыра 140г,СЫРBALL кук. Сыр 140г,140,Сыр,7756,1061413.1599999967,1.0858399999999977,353018.75399999984
201,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",Сырколбас,СЫРКОЛБ.Снеки кук.вкус.Двойной сыр 100г,Сырколбас кук. Двойной сыр 100г,100,Сыр,5807,494625.11999999965,0.5806999999999998,246269.62799999985
202,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,"ООО ""РУССКАРТ-СИТИ""",Сырколбас,СЫРКОЛБАС Снеки кук.вк.сыр/колбаса 100г,Сырколбас кук. Сыр и колбаса 100г,100,Сыр и колбаса,8581,734133.2599999985,0.8580999999999984,370263.3659999997
203,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,HOLYCORN Снеки кук.со вкус.Смет/зел.50г,HOLYCORN кук. Ссметана и зелень 50г,50,Сметана и зелень,227,21180.31,0.01135,8292.273000000001
204,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,HOLYCORN Снеки кукуруз.со вкус.Томат 50г,HOLYCORN кук. Томат 50г,50,Томат,499,41677.55999999999,0.024950000000000003,21886.391999999993
205,2024-09-01,Перекрёсток,Чипсы кукурузные,Кукурузные фигурные,Юникорн ООО,HOLYCORN,HOLYCORN Снеки кукуруз.со вкусом Сыр 50г,HOLYCORN кук. Сыр 50г,50,Сыр,3058,186609.58000000007,0.15290000000000004,113272.17000000001
206,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CH.Мегачипсы карт.вк.норв.лобс.100г,MEGA CHIPS Норвежский лобстер 100г,100,Лобстер,24954,1515695.8999999997,2.4953999999999983,916437.2039999998
207,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CHIPS Чипсы СО ВК.КУРИЦЫ 100г,MEGA CHIPS Курица 100г,100,Курица,26040,1596882.4600000014,2.604000000000001,956178.948
208,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/ЛУКА 100г,MEGA CHIPS Сметана и лук 100г,100,Сметана и лук,88033,5300513.719999997,8.803300000000016,3233366.4840000034
209,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные пластинки,Белпродукт ООО,MEGA CHIPS,MEGA CHIPS Чипсы СО ВК.СМЕТАНЫ/СЫРА 100г,MEGA CHIPS Сметана и сыр 100г,100,Сметана и сыр,84805,5118309.99000001,8.4805,3115039.8240000014
210,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в пачке-чаше,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чипсы карт.вк.См.зел.с.Чес.105г,BigBon Сметана и зелень с соусом чесночный 105г,105,Сметана и зелень,1,9.0,0.000105,64.188
211,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,MR.POTATO Чипсы со вк.барбекю карт.160г,Mister Potato Барбекю 160г,160,Барбекю,4,1399.96,0.00064,570.24
212,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чипсы карт.вк.Смет/зел.лук 130г,Big Bon Сметана и лук 130г,130,Сметана и лук,4,515.6,0.00052,288.816
213,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Маревен Фуд Сэнтрал ООО,Big Bon,BIG BON Чипсы карт.вкус.Снеж.краб 130г,Big Bon Снежный краб 130г,130,Краб,5,359.0,0.00065,361.02
214,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,LAYS Чипсы STAX карт.вк.Ар.реб.барб.140г,Lays STAX Ароматные ребрышки барбекю 140г,140,Ребрышки барбекю,24977,5906809.220000008,3.4967799999999984,3682356.780000001
215,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,LAYS Чипсы STAX карт.вк.Неж.см/лук 140г,Lays STAX Нежная сметана и лук 140г,140,Сметана и лук,30971,7492541.040000006,4.335940000000009,4562411.675999988
216,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Фрито Лэй,Lays STAX,LAYS Чипсы STAX карт.вкус.Пик.пап.140г,Lays STAX Пикантная паприка 140г,140,Паприка,15430,3900764.0700000064,2.160200000000004,2274818.4359999998
217,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы ORIGINAL картофельные 165г,PRINGLES Оригинальные 165г,165,Оригинальные,9232,3408163.089999999,1.5232799999999973,2187747.0
218,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы БАРБЕКЮ картофельные 165г,PRINGLES Барбекю 165г,165,Барбекю,7103,2617732.5500000007,1.1719949999999992,1683411.0
219,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы ОСТРО ПРЯНЫЙ картоф.165г,PRINGLES Остро-пряный 165г,165,Острый пряный,8856,3276011.839999994,1.4612399999999997,2098872.0
220,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы СМЕТАНА И ЛУК картоф.165г,PRINGLES Сметана и лук 165г,165,Сметана и лук,11197,4117682.4300000016,1.8475050000000002,2653689.0
221,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы СОЛЬ/УКСУС картофельные 165г,PRINGLES Соль и уксус 165г,165,Соль и уксус,3190,1173774.5299999993,0.5263499999999994,756030.0
222,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRING.Чипсы СЫР И ЛУК картофельные 165г,PRINGLES Сыр и лук 165г,165,Сыр и лук,7957,2915962.300000001,1.3129049999999995,1885809.0
223,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Келлогг Рус ООО,Pringles,PRINGL.Чипсы ПАПРИКА карт.165г,PRINGLES Паприка 165г,165,Паприка,11402,4199747.920000014,1.8813299999999977,2679428.0759999994
224,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Guangdong Peke Food Enterprises Co Ltd,PEKE,PEKE Чипсы карт.вкус.сметаны и лука 130г,PEKE Сметана и лук 140/130г,130,Сметана и лук,1896,193003.97999999995,0.24648000000000014,150730.88400000005
225,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Guangdong Peke Food Enterprises Co Ltd,PEKE,PEKE Чипсы карт.со вкусом краба 130г,PEKE Краб 130г,130,Краб,1982,201010.5800000001,0.25766,157704.1199999999
226,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Guangdong Peke Food Enterprises Co Ltd,PEKE,PEKE Чипсы карт.со вкусом паприки 130г,PEKE Паприка 130г,130,Паприка,1493,152112.08999999994,0.1940900000000001,119123.18399999994
227,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Guangdong Peke Food Enterprises Co Ltd,PEKE,PEKE Чипсы карт.со вкусом сыра 130г,PEKE Сыр 130г,130,Сыр,1853,187721.29000000012,0.24089000000000002,148553.292
228,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные в тубе,Guangdong Peke Food Enterprises Co Ltd,PEKE,PEKE Чипсы ОРИГИНАЛЬНЫЕ карт.130г,PEKE Оригинальные 130г,130,Оригинальные,2775,281677.2800000002,0.36075000000000035,222007.16400000028
229,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.зел.лука/см.190г,Русская картошка Сметана и лук 190г,190,Сметана и лук,7866,1282856.289999996,1.49454,580698.4480000004
230,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.крев.тем.вас.105г,Русская картошка Креветки теемпура с васаби 105г,105,Креветки и васаби,656,102503.69000000005,0.06887999999999993,33070.92800000001
231,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.малосол.ог.105г,Русская Картошка Малосольные огурцы 105г,105,Огурцы малосольные,1045,173536.39000000016,0.10972499999999993,52705.697000000066
232,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.сала с чесн.105г,Русская Картошка Сало с чесноком 105г,105,Сало и чеснок,1184,194762.3899999999,0.12431999999999988,59764.01200000007
233,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вк.сметаны/лука 80г,Русская картошка Сметана и лук 80г,80,Сметана и лук,19786,1614919.7799999972,1.5828799999999978,738483.6030000007
234,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.камч.краба 200г,Русская картошка Камчатскиий краб 200г,200,Краб,175,34493.10000000001,0.034999999999999976,18146.468999999994
235,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.кур.гриль 200г,Русская картошка Курица гриль 200г,200,Курица,137,24260.330000000005,0.02739999999999999,14267.044
236,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.кур.крыл.140г,Русская картошка Куриные крылышки 140г,140,Курица,7740,925880.0200000003,1.083600000000003,452030.8320000003
237,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.лука/смет.200г,Русская картошка Сметана и лук 200г,200,Сметана и лук,65,12480.699999999993,0.013000000000000005,6535.001
238,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.Остр.соус 190г,Русская картошка Острый соус 190г,190,Соус острый,169,36675.53000000003,0.03210999999999998,13128.335
239,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.вкус.Охот.колб.140г,Русская картошка Охотничьи колбаски 140г,140,Колбаски,8769,1031815.0899999996,1.2276600000000044,511976.2560000003
240,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкус.вар.рак.140г,Русская Картошка Вареные раки 140г,140,Раки,7632,906040.4599999994,1.0684800000000036,445492.08000000013
241,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкус.смет/укр.80г,Русская картошка Сметана и укроп 80г,80,Сметана и укроп,23714,2145875.149999997,1.89712,977191.7319999988
242,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкусом краба 190г,Русская картошка Камчатскиий краб 190г,190,Краб,4609,755576.359999999,0.8757100000000021,340630.9940000002
243,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы карт.со вкусом кревет.80г,Русская картошка Креветки 80г,80,Креветки,9432,738665.8599999987,0.7545599999999992,345308.4470000003
244,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы картоф.вк.слад.чили 105г,Русская Картошка Сладкий чили 105г,105,Чили,824,129864.42000000016,0.08651999999999992,41540.312000000034
245,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы картоф.вкус.жар.кур.190г,Русская картошка Жареная курица 190г,190,Курица,5227,866110.679999998,0.9931300000000016,385995.33500000084
246,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,"ООО ""РУССКАРТ-СИТИ""",Русская картошка,РУС.КАРТ.Чипсы картоф.со вкус.курицы 80г,Русская картошка Жареная курица 80г,80,Курица,31,2444.53,0.00248,1340.471
247,2024-09-01,Перекрёсток,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,LAYS Чипс.карт.вк.лис.в см.85г,Лейз из печи Лисички в сметане 85г,85,Сметана и Грибы Лисички,68964,8178949.460000009,5.861940000000006,4363864.392000002
248,2024-09-01,Перекрёсток,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,LAYS Чипсы карт.со вкус.неж.сыр зел.85г,Лейз из печи Нежный сыр и зелень 85г,85,Сыр и зелень,36358,4372475.699999999,3.0904299999999947,2298661.992
249,2024-09-01,Перекрёсток,Чипсы прессованные,Приссованные рифленые,"""МАТЯШ""ООО",Лайк овал,LAYS Чипсы картофельные вкус.Хамон 81г,Лейз из печи Хамон 81г,81,Хамон,27593,3373827.899999999,2.235032999999989,1746428.1719999993
250,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,HAP.CR.Чип.ц/з кук-р.вк.Сыр пар.ч/з.50г,Happy Crisp Альпийский сыр 50г,50,Сыр,1,69.99,5e-05,24.288
251,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,HAP.CR.Чипсы ц/зерн.кук-рис.вк.ал.сыр50г,Happy Crisp Альпийский сыр 50г,50,Сыр,6,335.4,0.0003,187.44
252,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,HAP.CR.Чипсы ц/зерн.кук-рис.вк.Пицца 50г,Happy Crisp Альпийский сыр 50г,50,Пицца,4,212.0,0.0002,113.24499999999999
253,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Евро фудс ООО,Happy Crisp,HAP.CR.Чипсы ц/зерн.кук-рис.вк.См/лук50г,Happy Crisp Альпийский сыр 50г,50,Сметана и лук,4,216.2,0.0002,114.87299999999999
254,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кук/рис.олив.мас/роз.50г,Dr.Korner Оливковое масло и розмарин 50г,50,Розмарин и оливковое масло,61,3434.7099999999996,0.0030499999999999998,1743.808
255,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кук/рис.с том/баз.50г,Dr.Korner Томат и базилик 50г,50,Томат и базилик,33,1873.6100000000001,0.0016499999999999998,916.135
256,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кук-рис.смет/зел.лук.50г,Dr.Korner Зеленый лук 50г,50,Зеленый лук,10377,642175.2699999992,0.5188500000000004,390291.6819999997
257,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы кукурузно-рис.с сыр.50г,Dr.Korner Сыр 50г,50,Сыр,8,522.6999999999999,0.0004,252.032
258,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы ц/з кук-рис.с пап/чил50г,Dr.Korner Паприка и чили 50г,50,Паприка и чили,11,351.8,0.00055,342.793
259,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы ц/з.кук-рис.в.том/бал50г,Dr.Korner Томат и базилик 50г,50,Томат и базилик,13712,1078816.6800000004,0.6855999999999993,521475.92200000037
260,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,"ООО ""СЛАДОСТИ ДЛЯ РАДОСТИ""",RICE UP!,RICE UP! Чипсы ц/зерн.вк.вас.бур.рис.60г,RICE UP! Чипсы ц/зерн.вк. Васаби 60г,60,Васаби,2697,473009.0399999992,0.16182000000000027,217763.70000000013
261,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,"ООО ""СЛАДОСТИ ДЛЯ РАДОСТИ""",RICE UP!,RICE UP! Чипсы ц/зерн.вк.кет.бур.рис.60г,RICE UP! Чипсы ц/зерн.вк. Кетчуп 60г,60,Кетчуп,2584,451085.3899999988,0.15504000000000026,209482.74000000037
262,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Зеленая линия,Зеленая линия,ЗЕЛ.ЛИН.Флайчипсы зер.кук-рис.с сол.40г,Зеленая линия Флайчипсы зер.кук-рис. Соль 40г,40,Соль,13701,1024809.8199999993,0.5480400000000013,532394.302000001
263,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Зеленая линия,Зеленая линия,ЗЕЛ.ЛИН.Флайчипсы зерн.с том/олив.40г,Зеленая линия Флайчипсы зер.кук-рис. Томат и оливки 40г,40,Томат и оливки,15567,1398545.9099999988,0.6226800000000009,594803.8140000005
264,2024-09-01,Перекрёсток,Чипсы прочие,Нутовые,Шеллдон ООО,Don Shelldon,DON SHELLD.Чипсы НУТСЫ вкус.Смет/зел.50г,Don Shelldon нут. Сметана и зелень 50г,50,Сметана и зелень,1975,148037.39999999994,0.09875000000000009,86720.89199999998
265,2024-09-01,Перекрёсток,Чипсы прочие,Нутовые,Шеллдон ООО,Don Shelldon,DON SHELLD.Чипсы НУТСЫ вкус.Сыр Чедд.50г,Don Shelldon нут. Сыр чеддер 50г,50,Сыр,1564,114948.12,0.0782,69410.32800000002
266,2024-09-01,Перекрёсток,Чипсы прочие,Нутовые,Зеленая линия,Зеленая линия,ЗЕЛ.ЛИН.Чипсы нут.вкус.йогурта/трав 50г,Зеленая линия нут. Йогурт и травы 50г,50,Йогурт и травы,269,43258.62000000003,0.01344999999999999,21347.388000000003
267,2024-09-01,Перекрёсток,Чипсы прочие,Нутовые,Зеленая линия,Зеленая линия,ЗЕЛ.ЛИН.Чипсы нутов.со вкус.авокадо 50г,Зеленая линия нут. Авокадо 50г,50,Авокадо,272,44900.77000000001,0.013599999999999998,21547.967999999983
268,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,ИП Ермакова Елена Андреевна,Чипсы ИЗ АРКТИКИ,Чипсы ИЗ АРКТИКИ из ягеля 10г,Чипсы ИЗ АРКТИКИ из ягеля 10г,10,Сироп,3,2179.9700000000003,3.0000000000000004e-05,1080.0
269,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,"ООО ""ЗЕЛЕНАЯ ГОРКА""",MOJNO,MOJNO Чипсы карт/лука гим.сол/чер.пер75г,MOJNO карт/лука Соль и черный перец 75г,75,Соль и лук,235,34567.15000000002,0.017625000000000023,16159.872000000014
270,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,"ООО ""ЗЕЛЕНАЯ ГОРКА""",MOJNO,MOJNO Чипсы нат.бат.с томат/паприк.75г,MOJNO бат. Томат и паприа 75г,75,Паприка и томат,144,23106.420000000013,0.010800000000000014,9940.452000000007
271,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,"ООО ""ЗЕЛЕНАЯ ГОРКА""",MOJNO,MOJNO Чипсы нат.из батата с сыр.Чед.75г,MOJNO бат. Сыр чеддер 75г,75,Сыр,4183,697359.7299999974,0.3137249999999991,399080.964
272,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,"ООО ""ЗЕЛЕНАЯ ГОРКА""",MOJNO,MOJNO Чипсы нат.карт/гр.шиит/лука см.75г,MOjNO Грибы Шиитаки и лук 75г,75,Грибы Шиитаки и лук,2680,442272.0399999986,0.20099999999999993,242203.08000000007
273,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы БАТАТ-СЫР ЧЕДДЕР натур.30г,REEEL батат Сыр чеддер 30г,30,Сыр,2309,183327.31,0.06927000000000007,116475.70800000001
274,2024-09-01,Перекрёсток,Чипсы прочие,Овощные,"ООО ""ЭВЕРЕСТ""",REEEL,REEEL Чипсы КАРТ-ГР.ШИИТ.СМ-ЛУК нат.30г,REEEL Сметана и лук и Грибы Шиитаки 30г,30,Сметана и лук и Грибы Шиитаки,3676,291580.8799999997,0.11028000000000049,155417.97600000017
275,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,ИП Азаров А. В.,AZAR Лавашики,AZAR Лавашики хр.вк/ар.смет.с луком 90г,AZAR Лавашики Сметана и лук 90г,90,Сметана и лук,33,2430.56,0.0029699999999999996,1050.456
276,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,ИП Азаров А. В.,AZAR Лавашики,AZAR Лавашики хр.вк/ар.сыр с чеснок.90г,AZAR Лавашики Сыр с чесноком 90г,90,Сыр и чеснок,32,2812.1099999999997,0.002879999999999999,1004.6630000000001
277,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы ЗЯКИ-ЗЯКИ 50г,BINGGRAE Чипсы ЗЯКИ-ЗЯКИ 50г,50,Говядина,159,14755.23,0.00795,6723.372
278,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,Восточная снековая компания ООО,Binggrae,BINGGRAE Чипсы КРАБ ЧИПСЫ хруст.50г,BINGGRAE Краб 50г,50,Краб,1537,115626.81999999998,0.07685,66282.44399999997
279,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,Келлогг Рус ООО,CHEESL'S,CHEESL'S Чипсы пш-кар.з.сыр.вк.дв.с.100г,CHEESL'S пш. Двойной сыр 100г,100,Сыр,846,122431.60000000017,0.08460000000000013,42305.07600000005
280,2024-09-01,Перекрёсток,Чипсы прессованные,Прессованные фигурные,Келлогг Рус ООО,CHEESL'S,CHEESL'S Чипсы пш-кар.з.сыр.вк.см/л.100г,CHEESL'S пш. Сметана и лук 100г,100,Сметана и лук,782,113930.44000000013,0.07820000000000012,39104.69200000001
281,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чип.кук-рис.тайс.ос.сл.пер.50г,Dr.Korner Тайский перец 50г,50,Перец тайский,8531,626236.5499999991,0.42654999999999965,321423.41000000015
282,2024-09-01,Перекрёсток,Чипсы прочие,Кукурузно-рисовые,Хлебпром ОАО,Dr.Korner ,DR.KORNER Чипсы ц/з кук-рис.сыр.начо 50г,Dr.Korner Сыр 50г,50,Сыр,18444,1167140.2300000004,0.9221999999999989,574940.7289999995
283,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшен.вкус.сыр со сметан/зел.90г,5D пшен. Сыр со сметаной и зеленью 90г,90,Сметана и зелень,1,49.99,9e-05,17.523
284,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшен.со вк.сметаны и лука 90г,5D пшен. Сметана и лук 90г,90,Сметана и лук,781,34788.04000000001,0.07028999999999996,15280.803999999998
285,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшен.со вкус.Стейк на углях 90г,5D пшен. Стейк на углях 90г,90,Стейк,564,25316.370000000006,0.05075999999999994,9954.339999999995
286,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшеничн.со вкус.Камчат.краб 90г,5D пшен. Камчатский краб 90г,90,Краб,592,25950.270000000008,0.05327999999999996,10396.155
287,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""5Д""",5D,5D Чипсы пшеничные со вкусом бекона 90г,5D пшен. Бекон 90г,90,Бекон,507,21945.910000000003,0.04562999999999997,8897.801
288,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""ПАНАЗИЯ ИМПЭКС""",MYREAL,MYREAL Чипсы малайзийск.кревет.прем.50г,MYREAL Малазийские креветки 50г,50,Креветки,1872,519248.48000000004,0.09360000000000002,288302.97600000043
289,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""ТРЕЙДБЕРРИ""",Free Ride,FR.RIDE Чипсы пш.вк.ростбифа с хрен.50г,Free Ride Ростбиф с хреном 50г,50,Хрен и ростбиф,164,7913.649999999997,0.008199999999999999,4059.0
290,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""ТРЕЙДБЕРРИ""",Free Ride,FR.RIDE Чипсы пш.со вк.бекона 50г,Free Ride Бекон 50г,50,Бекон,141,6940.619999999997,0.007049999999999997,3489.75
291,2024-09-01,Перекрёсток,Чипсы прочие,Пшеничные,"ООО ""ТРЕЙДБЕРРИ""",Free Ride,FR.RIDE Чипсы пш.со вк.лука со смет.50г,Free Ride Сметана и лук 50г,50,Сметана и лук,4,239.98000000000002,0.0002,99.0
