,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкус,"Продажи, шт","Продажи, руб","Продажи, тонн","Себест., руб"
33,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы Mister Potato оригинальные, 40г",Mister Potato Оригинальные 40г,40,Оригинальные,724,49831.264200000005,0.028960000000000003,63149.62999999999
34,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы Mister Potato с острым и пряным вкусом , 40г",Mister Potato Острый прянный вкус 40г,40,Острый пряный,696,47310.669299999994,0.027839999999999993,60780.86000000001
35,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы Mister Potato со вкусом барбекю, 40г",Mister Potato Барбекю 40г,40,Барбекю,675,45938.64,0.027000000000000007,57744.36999999999
36,2024-09-01,Окей,Чипсы прессованные,Прессованные в тубе,"""ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ""АО",Mister Potato,"Чипсы Mister Potato со вкусом сметаны и лука, 40г",Mister Potato Сметана и лук 40г,40,Сметана и лук,614,42798.146199999996,0.024560000000000005,53967.41999999999
37,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Москарт ООО,Golden Life,Картофель хруст. Golden Life 'Со вкусом Камамбера с розмарином' 90г,Golden Life Камамбер с розмарином 90г,90,Сыр и розмарин,2427,239330.22340000002,0.21842999999999993,126775.95000000004
38,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Москарт ООО,Golden Life,Картофель хруст. Golden Life 'Со вкусом Сметаны с перцем' 90г,Golden Life Сметана с перцем 90г,90,Сметана и перец,1823,179443.21580000006,0.16406999999999997,95429.99000000003
39,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Москарт ООО,Golden Life,Чипсы картофельные Golden Life со вкусом Лобстера 90г,Golden Life Лобстер 90г,90,Лобстер,2337,216153.93060000008,0.21032999999999996,122154.96999999999
40,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Москарт ООО,Московский картофель,Картофель Московский хруст. с йодир. Солью 120г,Московский картофель Йодированныя соль 120г,120,Соль,3539,386038.0090000001,0.4246799999999999,208910.88000000003
41,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК рифленые,Москарт ООО,Московский картофель,Картофель Московский хруст. со вкусом cыра 120г,Московский картофель риф Сыр пармезан 120г,120,Сыр,2022,225999.66269999993,0.24263999999999994,120323.98000000003
42,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Москарт ООО,Московский картофель,Картофель Московский хруст. со вкусом лука и сметаны 120г,Московский картофель Сметана и лук 120г,120,Сметана и лук,3707,413029.62879999983,0.44484,218693.88999999987
43,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Москарт ООО,Московский картофель,Картофель Московский хруст. со вкусом сладкого чили 120г,Московский картофель Соус сладкий чили 120г,120,Соус чили,2917,314587.92640000005,0.3500399999999998,172449.97999999992
