store_id,retail_chain,region_name,city_name,address,store_code,store_name,store_format,full_address,lat,lon,geo_precision,geo_found_address,store_key
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Выборгское ш., 33 А",60.065543,30.303453,exact,"Россия, Санкт-Петербург, Выборгское шоссе, 33",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Гражданский пр-т, 41 к.2,лит.Б",60.01221,30.398603,exact,"Россия, Санкт-Петербург, Гражданский проспект, 41к2Б",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Дачный пр-кт, 9 к.1л.А,п3Н",59.846554,30.244362,number,"Россия, Санкт-Петербург, Дачный проспект, 9к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Доблести ул, 17 к1с1п1Нчп2",59.859763,30.175012,exact,"Россия, Санкт-Петербург, улица Доблести, 17к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Долгоозёрная ул, 14 к.2,Лит.А",60.016775,30.246051,exact,"Россия, Санкт-Петербург, Долгоозёрная улица, 14к2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Думская ул, 4 лА,ч.п.01Н",59.933113,30.328337,number,"Россия, Санкт-Петербург, Думская улица, 4",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Дыбенко ул, 6 к1,с1,эт1",59.899676,30.450687,number,"Россия, Санкт-Петербург, улица Дыбенко, 6к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ефимова ул., 2 л.А,ч.п.1Н",59.926422,30.320988,number,"Россия, Санкт-Петербург, улица Ефимова, 2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Железноводская ул, 68 лБлБАлДчп1",59.952799,30.260505,exact,"Россия, Санкт-Петербург, Железноводская улица, 1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Заневский пр-т, 67 корп.2",59.932567,30.438102,number,"Россия, Санкт-Петербург, Заневский проспект, 67к2Б",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Искровский пр-кт, 6 к.1 лит.А",59.914407,30.459599,exact,"Россия, Санкт-Петербург, Искровский проспект, 6к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Испытателей пр-кт, 27 лит.А",60.006907,30.274779,exact,"Россия, Санкт-Петербург, проспект Испытателей, 27",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Каменноостровский пр-т, 10 лит. М",59.958264,30.313757,exact,"Россия, Санкт-Петербург, Каменноостровский проспект, 10М",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Камышовая ул, 36 с.1,п.1-Н",60.008743,30.221725,exact,"Россия, Санкт-Петербург, Камышовая улица, 36",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Карбышева ул, 9 лит.А",59.993001,30.353274,exact,"Россия, Санкт-Петербург, улица Карбышева, 9",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Кирпичный пер, 4 Лит.А,п2-Н",59.93584,30.315886,exact,"Россия, Санкт-Петербург, Центральный район, Кирпичный переулок, 4",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Коллонтай ул, 3 лАчп1-Н,ч1",59.912914,30.446878,near,"Россия, Санкт-Петербург, улица Коллонтай, 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Коллонтай ул, 30 к1,лА,чп1Н",59.923897,30.483817,exact,"Россия, Санкт-Петербург, улица Коллонтай, 30к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Коломяжский пр-кт, 15 к2лАчп117Н",59.938676,30.314494,other,"Россия, Санкт-Петербург",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Коломяжский пр-кт, 17 к1лАП-1-Н",59.938676,30.314494,other,"Россия, Санкт-Петербург",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Комендантский пр-кт, 24 к.1,лит.А",60.013101,30.251558,exact,"Россия, Санкт-Петербург, Комендантский проспект, 24к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Комендантский пр-кт, 66 к.2,с1,п8Н",60.039715,30.218715,exact,"Россия, Санкт-Петербург, Комендантский проспект, 66к2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Комендантский пр-т, 33 к.1,лит.А",60.021829,30.24535,exact,"Россия, Санкт-Петербург, Комендантский проспект, 33к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Кондратьевский пр-кт, 44 лит.А",59.971235,30.386377,exact,"Россия, Санкт-Петербург, Кондратьевский проспект, 44",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Кораблестроителей ул., 21 1,лит.А",59.945639,30.216434,exact,"Россия, Санкт-Петербург, улица Кораблестроителей, 21",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Кораблестроителей ул., 31 1,л.А",59.95361,30.22018,number,"Россия, Санкт-Петербург, улица Кораблестроителей, 31к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Косыгина пр-кт, 30 к1лА,п6Н",59.946054,30.497669,number,"Россия, Санкт-Петербург, проспект Косыгина, 30к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Кременчугская ул, 11 к3,с1,п1Н",59.922963,30.37204,exact,"Россия, Санкт-Петербург, Кременчугская улица, 11к3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Культуры пр-т, 1 л.А,ч.п.1Н",60.033706,30.367755,number,"Россия, Санкт-Петербург, проспект Культуры, 1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Лахтинский пр-кт, 85 к.2,лит.А",59.993482,30.151297,exact,"Россия, Санкт-Петербург, Лахтинский проспект, 85к2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Левашовский пр-кт, 13 лА,чп8-Н,",59.96675,30.286933,exact,"Россия, Санкт-Петербург, Левашовский проспект, 13",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ленинский пр-кт, 100 к.1,лит.А",59.85327,30.220045,exact,"Россия, Санкт-Петербург, Ленинский проспект, 100к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ленинский пр-кт, 137 лит.Б,п.2Н",59.851381,30.277717,exact,"Россия, Санкт-Петербург, Ленинский проспект, 137Б",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ленинский пр-кт, 94 к.1,лит.А",59.854246,30.214817,exact,"Россия, Санкт-Петербург, Ленинский проспект, 94к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ленская ул, 12 к.1 лит.А",59.940528,30.494211,exact,"Россия, Санкт-Петербург, Ленская улица, 12к1А",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Ленсовета ул, 101 л.Б,п.6-20",59.832317,30.348908,number,"Россия, Санкт-Петербург, улица Ленсовета, 101",
